# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 618834 n6 n73 300 N 
58.0000 M2 977273 n13 n28 300 N 
84.0000 M3 968122 n83 n44 300 N 
112.0000 M4 523257 n25 n91 300 N 
144.0000 M5 874671 n33 n89 300 N 
170.0000 M6 661032 n62 n89 300 N 
203.0000 M7 612010 n24 n42 300 N 
233.0000 M8 913877 n6 n9 300 N 
265.0000 M9 587686 n36 n62 300 N 
291.0000 M10 863541 n61 n35 300 N 
320.0000 M11 562047 n26 n79 300 N 
345.0000 M12 545086 n57 n19 300 N 
379.0000 M13 693107 n14 n39 300 N 
405.0000 M14 720934 n9 n37 300 N 
431.0000 M15 991397 n43 n98 300 N 
464.0000 M16 875016 n73 n0 300 N 
498.0000 M17 790517 n53 n22 300 N 
523.0000 M18 640222 n11 n6 300 N 
557.0000 M19 580040 n53 n79 300 N 
582.0000 M20 773543 n89 n36 300 N 
609.0000 M21 519301 n45 n27 300 N 
640.0000 M22 854050 n15 n12 300 N 
669.0000 M23 555510 n45 n78 300 N 
698.0000 M24 559729 n94 n15 300 N 
730.0000 M25 982211 n52 n8 300 N 
757.0000 M26 546679 n67 n2 300 N 
785.0000 M27 707738 n53 n50 300 N 
818.0000 M28 627290 n71 n21 300 N 
852.0000 M29 639593 n85 n34 300 N 
881.0000 M30 678625 n90 n0 300 N 
913.0000 M31 948641 n38 n49 300 N 
945.0000 M32 531670 n54 n37 300 N 
976.0000 M33 729461 n25 n18 300 N 
1007.0000 M34 844772 n11 n48 300 N 
1035.0000 M35 998232 n81 n92 300 N 
1060.0000 M36 612761 n2 n40 300 N 
1092.0000 M37 737538 n85 n30 300 N 
1121.0000 M38 698725 n39 n40 300 N 
1154.0000 M39 983915 n78 n23 300 N 
1184.0000 M40 572441 n47 n64 300 N 
1216.0000 M41 838158 n21 n4 300 N 
1249.0000 M42 889225 n45 n51 300 N 
1281.0000 M43 596711 n18 n22 300 N 
1313.0000 M44 568074 n75 n56 300 N 
1345.0000 M45 506581 n69 n11 300 N 
1378.0000 M46 636051 n4 n40 300 N 
1411.0000 M47 734776 n2 n26 300 N 
1437.0000 M48 884863 n50 n32 300 N 
1465.0000 M49 955987 n71 n53 300 N 
1498.0000 M50 976458 n70 n30 300 N 
1528.0000 M51 797770 n11 n1 300 N 
1560.0000 M52 891919 n41 n72 300 N 
1586.0000 M53 883685 n17 n79 300 N 
1617.0000 M54 953264 n73 n36 300 N 
1646.0000 M55 928171 n85 n17 300 N 
1677.0000 M56 782957 n3 n7 300 N 
1707.0000 M57 601479 n72 n81 300 N 
1739.0000 M58 837610 n52 n45 300 N 
1769.0000 M59 720977 n89 n82 300 N 
1803.0000 M60 686270 n8 n10 300 N 
1828.0000 M61 640531 n63 n24 300 N 
1857.0000 M62 745934 n18 n91 300 N 
1890.0000 M63 895682 n4 n46 300 N 
1917.0000 M64 679024 n61 n16 300 N 
1946.0000 M65 628836 n24 n77 300 N 
1975.0000 M66 762094 n35 n76 300 N 
2000.0000 M67 922010 n26 n11 300 N 
2027.0000 M68 649807 n4 n96 300 N 
2061.0000 M69 580609 n88 n68 300 N 
2093.0000 M70 766484 n14 n0 300 N 
