# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
719.2000 M7 612010 2 516.2000 n24 n42 291 N n24->n76->n42
1063.7000 M4 523257 2 951.7000 n25 n91 284 N n25->n46->n91
1333.3000 M24 559729 1 635.3000 n94 n15 289 N n94->n15
1456.4000 M3 968122 4 1372.4000 n83 n44 277 N n83->n55->n80->n49->n44
1585.8000 M2 977273 3 1527.8000 n13 n28 274 N n13->n17->n36->n28
1989.9000 M13 693107 3 1610.9000 n14 n39 273 N n14->n6->n80->n39
2034.6000 M1 618834 5 2002.6000 n6 n73 266 N n6->n36->n14->n95->n12->n73
2178.1000 M10 863541 3 1887.1000 n61 n35 268 N n61->n19->n37->n35
2184.1000 M12 545086 4 1839.1000 n57 n19 269 N n57->n61->n87->n6->n19
2427.9000 M30 678625 1 1546.9000 n90 n0 274 N n90->n0
2646.9000 M52 891919 2 1086.9000 n41 n72 281 N n41->n48->n72
2680.6000 M11 562047 4 2360.6000 n26 n79 260 N n26->n77->n50->n2->n79
2792.5000 M44 568074 3 1479.5000 n75 n56 275 N n75->n12->n73->n56
2852.1000 M8 913877 4 2619.1000 n6 n9 256 N n6->n80->n39->n24->n9
2985.8000 M28 627290 5 2167.8000 n71 n21 263 N n71->n84->n58->n42->n38->n21
3254.5000 M48 884863 2 1817.5000 n50 n32 269 N n50->n2->n32
3474.3000 M68 649807 4 1447.3000 n4 n96 275 N n4->n6->n19->n29->n96
3520.5000 M27 707738 2 2735.5000 n53 n50 254 N n53->n94->n50
3722.3000 M93 592981 1 931.3000 n92 n17 284 N n92->n17
3886.9000 M18 640222 2 3363.9000 n11 n6 243 N n11->n91->n6
4172.1000 M112 822553 2 818.1000 n46 n90 286 N n46->n73->n90
4306.8000 M132 906495 1 363.8000 n14 n30 293 N n14->n30
4410.4000 M17 790517 4 3912.4000 n53 n22 234 N n53->n33->n94->n72->n22
4566.7000 M6 661032 5 4396.7000 n62 n89 226 N n62->n98->n20->n6->n51->n89
4613.1000 M14 720934 6 4208.1000 n9 n37 229 N n9->n23->n57->n71->n35->n89->n37
4615.3000 M32 531670 7 3670.3000 n54 n37 238 N n54->n81->n88->n79->n12->n86->n89->n37
4618.8000 M5 874671 2 4474.8000 n33 n89 225 N n33->n37->n89
4793.5000 M118 682174 1 1264.5000 n37 n57 278 N n37->n57
4821.6000 M33 729461 4 3845.6000 n25 n18 235 N n25->n38->n42->n45->n18
5535.8000 M16 875016 6 5071.8000 n73 n0 215 N n73->n55->n8->n31->n46->n53->n0
5903.3000 M63 895682 6 4013.3000 n4 n46 233 N n4->n71->n4->n60->n4->n28->n46
6042.1000 M45 506581 4 4697.1000 n69 n11 221 N n69->n42->n98->n4->n11
6131.2000 M205 831486 1 24.2000 n54 n25 299 N n54->n25
6175.9000 M21 519301 4 5566.9000 n45 n27 207 N n45->n96->n37->n6->n27
6510.6000 M214 678285 1 150.6000 n97 n89 297 N n97->n89
6720.9000 M29 639593 4 5868.9000 n85 n34 202 N n85->n23->n9->n64->n34
6749.2000 M148 689890 7 2332.2000 n20 n13 261 N n20->n93->n91->n33->n45->n66->n48->n13
6821.8000 M102 825032 1 3765.8000 n64 n88 237 N n64->n88
7163.2000 M23 555510 7 6494.2000 n45 n78 191 N n45->n96->n20->n98->n91->n33->n56->n78
7221.3000 M134 871376 1 3219.3000 n58 n31 246 N n58->n31
7708.5000 M147 664885 2 3317.5000 n70 n28 244 N n70->n52->n28
7893.6000 M209 588607 1 1674.6000 n2 n7 272 N n2->n7
7967.2000 M77 598670 5 5667.2000 n90 n97 205 N n90->n11->n10->n70->n49->n97
8072.1000 M19 580040 3 7515.1000 n53 n79 174 N n53->n39->n74->n79
8447.4000 M257 731000 1 801.4000 n46 n69 286 N n46->n69
8548.1000 M100 971584 6 5556.1000 n45 n30 207 N n45->n53->n13->n7->n19->n93->n30
8869.4000 M221 500565 3 2299.4000 n75 n27 261 N n75->n0->n57->n27
8907.0000 M216 661242 2 2487.0000 n92 n28 258 N n92->n14->n28
9111.3000 M271 998284 2 1071.3000 n8 n29 282 N n8->n89->n29
9345.8000 M22 854050 3 8705.8000 n15 n12 154 N n15->n97->n63->n12
9488.1000 M213 837315 2 3161.1000 n58 n66 247 N n58->n88->n66
9725.8000 M237 705144 1 2685.8000 n34 n69 255 N n34->n69
9869.0000 M145 549490 5 5542.0000 n75 n93 207 N n75->n87->n12->n63->n46->n93
10978.5000 M107 751567 3 7777.5000 n58 n63 170 N n58->n55->n95->n63
11834.0000 M327 686799 2 2139.0000 n2 n6 264 N n2->n75->n6
11994.4000 M193 821267 2 6245.4000 n51 n6 195 N n51->n38->n6
